:START_ID,:END_ID,:TYPE,relation
8,70,COVERS_AREA,covers area
70,89,FORMED_BY,formed by
70,56,FORMED_BY,formed by
70,112,FORMED_BY,formed by
70,133,FORMED_BY,formed by
70,153,FORMED_BY,formed by
70,76,FORMED_BY,formed by
70,25,FORMED_BY,formed by
70,13,FORMED_BY,formed by
70,23,FORMED_BY,formed by
70,24,FORMED_BY,formed by
89,70,USES_BENCHMARK,uses benchmark
112,151,USES_BENCHMARK,uses benchmark
133,70,USES_BENCHMARK,uses benchmark
153,151,USES_BENCHMARK,uses benchmark
76,70,USES_BENCHMARK,uses benchmark
89,1,HAS_DESIGN_STANDARD,has design standard
112,11,HAS_DESIGN_STANDARD,has design standard
133,11,HAS_DESIGN_STANDARD,has design standard
153,1,HAS_DESIGN_STANDARD,has design standard
76,1,HAS_DESIGN_STANDARD,has design standard
133,2,HAS_CHECK_STANDARD,has check standard
76,7,HAS_CHECK_STANDARD,has check standard
112,4,HAS_STORAGE_CAPACITY,has storage capacity
133,16,STATUS_IS,status is
76,19,STATUS_IS,status is
25,119,CONNECTS_JUNSHAN,connects junshan
25,6,FOLLOWS_DESIGN_STANDARD,follows design standard
23,15,IS_TYPE_OF,is type of
23,15,INCLUDES_COMPONENT,includes component
23,17,INCLUDES_COMPONENT,includes component
87,15,INCLUDES_COMPONENT,includes component
14,70,IS_LOCATED_IN,is located in
22,36,UNIT_IS,unit is
20,36,UNIT_IS,unit is
21,36,UNIT_IS,unit is
18,125,UNIT_IS,unit is
81,80,MEASURED_AT,measured at
136,75,ENSURES_SAFETY_FOR,ensures safety for
136,147,ENSURES_SAFETY_FOR,ensures safety for
136,37,ENSURES_SAFETY_FOR,ensures safety for
136,33,INVOLVES_INFRASTRUCTURE_LIKE,involves infrastructure like
136,32,INVOLVES_INFRASTRUCTURE_LIKE,involves infrastructure like
136,34,INVOLVES_INFRASTRUCTURE_LIKE,involves infrastructure like
136,86,INVOLVES_INFRASTRUCTURE_LIKE,involves infrastructure like
136,35,INVOLVES_INFRASTRUCTURE_LIKE,involves infrastructure like
136,69,INVOLVES_INFRASTRUCTURE_LIKE,involves infrastructure like
136,95,INVOLVES_INFRASTRUCTURE_LIKE,involves infrastructure like
136,51,INVOLVES_INFRASTRUCTURE_LIKE,involves infrastructure like
136,49,INVOLVES_INFRASTRUCTURE_LIKE,involves infrastructure like
143,89,INCLUDES_RESERVOIRS_LIKE,includes reservoirs like
143,56,INCLUDES_RESERVOIRS_LIKE,includes reservoirs like
