:START_ID,:END_ID,:TYPE,relation
135,35,长,长
135,122,是,是
135,176,是,是
182,83,由,由
182,55,由,由
182,240,由,由
182,252,由,由
182,81,设计泄量,设计泄量
182,34,设计泄量,设计泄量
182,78,设计泄量,设计泄量
182,60,总设计泄洪能力,总设计泄洪能力
182,127,由,由
182,199,由,由
182,219,由,由
182,236,由,由
182,86,总泄洪量,总泄洪量
182,9,分洪闸泄洪量,分洪闸泄洪量
182,76,溢流堰泄洪量,溢流堰泄洪量
214,169,为,为
214,173,闸型,闸型
214,101,设计闸上水位,设计闸上水位
214,22,相应流量,相应流量
222,114,北界,北界
222,135,南界,南界
222,113,现状启用标准,现状启用标准
222,87,设计运用标准,设计运用标准
222,89,设计滞洪水位,设计滞洪水位
222,18,相应滞洪量,相应滞洪量
222,74,总面积,总面积
222,57,我省境内面积,我省境内面积
179,160,承接,承接
179,239,西接,西接
179,135,北靠,北靠
179,164,东倚,东倚
179,195,南以,南以
179,41,现状启用标准,现状启用标准
179,87,设计运用标准,设计运用标准
179,185,设计滞洪水位,设计滞洪水位
179,73,相应滞洪量,相应滞洪量
179,28,总面积,总面积
179,26,我省境内面积,我省境内面积
251,164,位于,位于
251,185,设计滞洪水位,设计滞洪水位
251,73,相应滞洪量,相应滞洪量
251,28,总面积,总面积
251,26,我省境内面积,我省境内面积
222,185,设计滞洪水位,设计滞洪水位
222,73,相应滞洪量,相应滞洪量
222,28,总面积,总面积
222,26,我省境内面积,我省境内面积
159,79,1%设计值,1%设计值
159,75,2%设计值,2%设计值
159,52,5%设计值,5%设计值
159,29,10%设计值,10%设计值
159,3,20%设计值,20%设计值
159,84,50%设计值,50%设计值
159,66,100%设计值,100%设计值
159,66,设计洪水总量,设计洪水总量
222,197,由,由
222,153,报,报
222,231,由,由
222,172,由,由
125,197,由,由
125,153,报,报
222,259,由,由
222,227,经,经
222,226,报,报
123,249,由,由
123,110,报,报
209,249,由,由
159,228,由,由
159,230,报,报
159,153,由,由
214,188,由,由
214,187,由,由
214,153,报,报
214,249,由,由
135,192,由,由
135,187,由,由
135,153,报,报
135,191,由,由
182,225,由,由
182,187,报,报
182,224,由,由
124,171,由,由
124,112,报,报
260,249,由,由
260,194,由,由
260,187,报,报
256,229,由,由
235,185,达到,达到
115,47,达到,达到
115,48,达到,达到
134,96,达到,达到
134,105,达到,达到
214,97,达到,达到
214,99,达到,达到
263,200,位于,位于
200,241,流经,流经
263,203,位于,位于
203,129,流经,流经
263,164,位于,位于
164,212,流经,流经
164,233,流经,流经
263,159,位于,位于
159,200,流经,流经
200,133,流经,流经
263,222,位于,位于
222,134,流经,流经
158,253,位于,位于
253,214,流经,流经
222,235,流经,流经
158,220,位于,位于
220,115,流经,流经
263,138,位于,位于
138,131,流经,流经
263,189,位于,位于
189,152,流经,流经
263,128,位于,位于
128,132,流经,流经
132,157,流经,流经
263,261,位于,位于
261,156,流经,流经
263,207,位于,位于
207,144,流经,流经
263,190,位于,位于
190,107,流经,流经
263,174,位于,位于
174,162,流经,流经
263,255,位于,位于
255,166,流经,流经
263,247,位于,位于
247,167,流经,流经
158,202,位于,位于
202,238,流经,流经
154,193,调度,调度
204,206,包含,包含
206,248,位于,位于
204,142,包含,包含
142,121,位于,位于
142,264,位于,位于
142,175,位于,位于
143,140,包含,包含
143,117,位于,位于
205,146,位于,位于
205,250,位于,位于
205,216,位于,位于
153,262,作为,作为
140,80,水位为,水位为
140,263,位于,位于
117,263,位于,位于
150,62,水位为,水位为
150,153,位于,位于
205,146,流经,流经
146,47,水位为,水位为
146,153,位于,位于
205,250,流经,流经
250,50,水位为,水位为
250,153,位于,位于
145,205,属于,属于
216,205,位于,位于
216,44,水位为,水位为
161,139,属于,属于
149,51,水位为,水位为
149,139,位于,位于
148,139,属于,属于
178,18,水位为,水位为
178,263,位于,位于
177,139,属于,属于
147,139,位于,位于
147,2,水位为,水位为
164,201,连接,连接
245,82,水位为,水位为
245,263,位于,位于
244,125,用于,用于
243,56,水位为,水位为
243,263,位于,位于
243,27,控制流量为,控制流量为
165,167,位于,位于
116,87,按标准运用,按标准运用
116,64,滞洪水位为,滞洪水位为
200,243,流经,流经
243,71,水位为,水位为
242,118,流经,流经
118,53,水位为,水位为
118,263,位于,位于
212,33,水位为,水位为
212,263,位于,位于
129,77,水位为,水位为
129,263,位于,位于
125,78,下泄流量为,下泄流量为
125,103,下泄流量为,下泄流量为
125,72,下泄流量为,下泄流量为
163,48,水位为,水位为
163,263,位于,位于
212,30,水位为,水位为
213,164,属于,属于
212,32,水命为,水命为
212,109,流经,流经
234,10,水位为,水位为
234,263,位于,位于
234,196,流经,流经
196,90,水位为,水位为
196,263,位于,位于
159,196,流经,流经
125,78,下泄,下泄
125,103,下泄,下泄
125,72,下泄,下泄
48,263,位于,位于
45,263,位于,位于
39,263,位于,位于
42,263,位于,位于
69,120,位于,位于
212,30,位于,位于
30,263,位于,位于
24,263,位于,位于
25,263,位于,位于
68,213,位于,位于
212,32,位于,位于
32,263,位于,位于
31,263,位于,位于
85,212,位于,位于
108,106,不小于,不小于
183,186,分泄,分泄
164,185,漫滩行洪,漫滩行洪
237,185,控制泄量,控制泄量
234,10,位于,位于
10,263,位于,位于
14,263,位于,位于
5,263,位于,位于
6,263,位于,位于
85,234,位于,位于
196,90,位于,位于
90,263,位于,位于
91,263,位于,位于
85,159,位于,位于
208,133,流经,流经
133,70,位于,位于
70,153,位于,位于
67,153,位于,位于
61,153,位于,位于
65,153,位于,位于
158,69,位于,位于
210,258,位于,位于
257,43,位于,位于
43,153,位于,位于
38,153,位于,位于
36,153,位于,位于
43,158,位于,位于
102,126,位于,位于
125,36,上涨超过,上涨超过
246,125,发生于,发生于
222,134,位于,位于
134,17,位于,位于
17,158,位于,位于
104,158,位于,位于
4,158,位于,位于
136,222,位于,位于
254,198,首先扒开,首先扒开
254,151,依次扒开,依次扒开
254,180,依次扒开,依次扒开
232,137,确保,确保
253,182,流经,流经
182,7,位于,位于
7,153,位于,位于
100,153,位于,位于
40,159,位于,位于
214,6,位于,位于
6,153,位于,位于
1,153,位于,位于
40,215,位于,位于
222,235,位于,位于
235,158,位于,位于
88,158,位于,位于
98,158,位于,位于
119,222,位于,位于
115,63,位于,位于
63,153,位于,位于
59,153,位于,位于
58,153,位于,位于
40,221,位于,位于
125,222,发生于,发生于
189,141,流经,流经
189,168,汇入,汇入
189,95,水位为,水位为
189,94,水位为,水位为
130,92,水位为,水位为
130,93,水位为,水位为
189,54,长度为,长度为
184,189,确保,确保
189,152,威胁,威胁
128,157,流经,流经
128,19,水位为,水位为
128,23,水位为,水位为
153,15,水位为,水位为
153,16,水位为,水位为
263,8,水位为,水位为
155,12,长度为,长度为
261,20,水位为,水位为
261,21,水位为,水位为
153,11,水位为,水位为
153,13,水位为,水位为
263,12,水位为,水位为
211,12,长度为,长度为
207,217,流经,流经
207,37,水位为,水位为
207,49,水位为,水位为
153,37,水位为,水位为
218,46,长度为,长度为
237,147,控制水位,控制水位
252,182,组成,组成
252,182,构成,构成
159,75,设计值,设计值
117,143,位于,位于
204,139,位于,位于
149,204,位于,位于
161,204,位于,位于
254,2,关联,关联
254,151,触发,触发
204,151,连接,连接
204,180,管理,管理
254,204,维护,维护
204,111,报备于,报备于
248,170,管辖于,管辖于
264,111,管辖于,管辖于
252,199,属于,属于
159,160,分泄,分泄
223,159,管理,管理
236,159,位于,位于
99,98,等于,等于
135,181,并列,并列
234,233,位于,位于
89,88,等于,等于
243,241,位于,位于
135,37,报_VIA_国家防总决定,报 via 国家防总决定
135,13,报_VIA_国家防总决定,报 via 国家防总决定
135,11,报_VIA_国家防总决定,报 via 国家防总决定
135,15,报_VIA_国家防总决定,报 via 国家防总决定
135,16,报_VIA_国家防总决定,报 via 国家防总决定
135,262,报_VIA_国家防总决定,报 via 国家防总决定
182,153,INDIRECTLY_位于,indirectly 位于
214,37,报_VIA_国家防总决定,报 via 国家防总决定
214,13,报_VIA_国家防总决定,报 via 国家防总决定
214,11,报_VIA_国家防总决定,报 via 国家防总决定
214,15,报_VIA_国家防总决定,报 via 国家防总决定
214,16,报_VIA_国家防总决定,报 via 国家防总决定
214,262,报_VIA_国家防总决定,报 via 国家防总决定
214,263,INDIRECTLY_位于,indirectly 位于
222,105,位于_VIA_十方院,位于 via 十方院
222,17,INDIRECTLY_位于,indirectly 位于
222,96,位于_VIA_十方院,位于 via 十方院
222,158,INDIRECTLY_位于,indirectly 位于
222,122,南界_VIA_千里堤,南界 via 千里堤
222,191,南界_VIA_千里堤,南界 via 千里堤
222,176,南界_VIA_千里堤,南界 via 千里堤
222,192,南界_VIA_千里堤,南界 via 千里堤
222,187,南界_VIA_千里堤,南界 via 千里堤
222,35,南界_VIA_千里堤,南界 via 千里堤
222,37,报_VIA_国家防总决定,报 via 国家防总决定
222,13,报_VIA_国家防总决定,报 via 国家防总决定
222,11,报_VIA_国家防总决定,报 via 国家防总决定
222,15,报_VIA_国家防总决定,报 via 国家防总决定
222,16,报_VIA_国家防总决定,报 via 国家防总决定
222,262,报_VIA_国家防总决定,报 via 国家防总决定
179,212,东倚_VIA_子牙河,东倚 via 子牙河
179,233,东倚_VIA_子牙河,东倚 via 子牙河
179,201,东倚_VIA_子牙河,东倚 via 子牙河
179,153,北靠_VIA_千里堤,北靠 via 千里堤
179,122,北靠_VIA_千里堤,北靠 via 千里堤
179,191,北靠_VIA_千里堤,北靠 via 千里堤
179,176,北靠_VIA_千里堤,北靠 via 千里堤
179,192,北靠_VIA_千里堤,北靠 via 千里堤
179,187,北靠_VIA_千里堤,北靠 via 千里堤
179,35,北靠_VIA_千里堤,北靠 via 千里堤
251,212,位于_VIA_子牙河,位于 via 子牙河
251,233,位于_VIA_子牙河,位于 via 子牙河
