:START_ID,:END_ID,:TYPE,chunk
15,111,针对,1
151,250,包含,1
158,61,采用,1
73,99,高程为,1
113,172,经历,1
113,116,进行,1
111,236,形成,1
236,155,包含,1
113,102,包含,2
102,235,属于,2
192,218,见,2
186,74,流经,5
186,200,汇入,5
129,123,位于,5
129,47,长度为,5
95,122,位于,5
95,3,长度为,5
165,14,标准为,5
165,239,流量为,5
165,240,流量为,5
165,241,能力为,5
165,6,能力为,5
242,25,长度为,5
129,216,位于,5
129,27,长度为,5
160,39,长度为,6
64,160,位于,6
162,160,属于,6
162,144,位于,6
162,124,位于,6
161,160,属于,6
161,217,位于,6
161,124,位于,6
160,17,标准为,6
145,19,长度为,7
129,145,属于,7
129,19,长度为,7
95,145,属于,7
95,20,长度为,7
145,14,标准为,7
145,2,流量为,7
248,145,位于,7
188,11,流量为,7
189,9,流量为,7
147,52,汇入,9
147,148,经过,9
147,82,疏导,9
147,149,起点为,9
152,32,包含,10
152,22,包含,10
152,212,包含,10
152,227,包含,10
32,34,泄量为,10
22,33,泄量为,10
227,43,泄量为,10
152,29,容量为,10
148,77,包含,11
148,180,包含,11
148,196,包含,11
148,210,包含,11
77,8,水位为,11
180,8,水位为,11
148,31,流量为,11
77,38,流量为,11
180,23,流量为,11
194,128,类型为,11
194,135,闸型为,11
194,1,孔数为,11
194,46,水位为,11
194,24,流量为,11
52,214,属于,26
112,52,汇入,12
52,53,北接,12
52,85,南接,12
52,40,水位为,12
52,4,蓄量为,12
52,30,面积为,12
142,214,属于,31
112,142,承接,12
142,211,西接,12
142,85,北靠,12
142,120,东倚,12
142,37,水位为,12
200,114,位于,14
200,235,属于,14
85,200,位于,14
146,200,位于,14
245,200,位于,14
98,200,位于,14
175,200,位于,14
101,16,长度为,14
127,78,地跨,15
127,164,地跨,15
105,109,包含,16
109,200,设有,16
109,18,面积为,16
109,51,包含,16
109,49,包含,16
109,50,包含,16
87,83,设有,16
197,56,设有,16
139,137,设有,16
139,36,面积为,16
223,234,确保,16
223,89,保护,16
223,86,保护,16
223,63,保护,16
223,62,保护,16
223,65,保护,16
223,150,保护,16
223,66,保护,16
223,103,保护,16
223,171,保护,16
223,117,保护,16
223,246,保护,16
223,68,保护,16
186,84,流经,19
186,237,流经,19
186,55,流经,19
84,26,水位为,19
237,13,水位为,19
55,10,水位为,19
57,186,属于,19
242,76,用于,19
243,12,超过,19
242,237,位于,19
187,238,位于,19
213,187,位于,19
96,187,位于,19
85,121,确保,19
228,154,流经,19
228,195,流经,19
154,45,水位为,19
195,44,水位为,19
153,34,超过,19
67,76,用于,27
229,67,位于,19
152,153,包含,20
201,200,属于,20
201,41,阈值为,20
201,42,阈值为,20
153,168,用于,20
227,179,用于,20
